,Open 0,Target,Close 1,Open 1,Close 2,Open 2,Close 3,Open 3,Close 4,Open 4,Close 5,Open 5,Anos,Meses,Dias,Dias_semana,Periodos,Ano_2018,Ano_2019,Ano_2020,Ano_2021,Mes_01,Mes_02,Mes_03,Mes_04,Mes_05,Mes_06,Mes_07,Mes_08,Mes_09,Mes_10,Mes_11,Mes_12,Dia_01,Dia_02,Dia_03,Dia_04,Dia_05,Dia_06,Dia_07,Dia_08,Dia_09,Dia_10,Dia_11,Dia_12,Dia_13,Dia_14,Dia_15,Dia_16,Dia_17,Dia_18,Dia_19,Dia_20,Dia_21,Dia_22,Dia_23,Dia_24,Dia_25,Dia_26,Dia_27,Dia_28,Dia_29,Dia_30,Dia_31,Dia_semana_Quarta,Dia_semana_Quinta,Dia_semana_Segunda,Dia_semana_Sexta,Dia_semana_Terca,Periodo_1,Periodo_2,Periodo_3,Periodo_4
5,183.55999755859375,182.33999633789062,183.7100067138672,178.74000549316406,179.77999877929688,181.77999877929688,180.39999389648438,176.1999969482422,176.6199951171875,173.2899932861328,175.94000244140625,179.00999450683594,2018,03,08,Quinta,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6,183.91000366210938,185.22999572753906,182.33999633789062,183.55999755859375,183.7100067138672,178.74000549316406,179.77999877929688,181.77999877929688,180.39999389648438,176.1999969482422,176.6199951171875,173.2899932861328,2018,03,09,Sexta,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,185.22999572753906,184.75999450683594,185.22999572753906,183.91000366210938,182.33999633789062,183.55999755859375,183.7100067138672,178.74000549316406,179.77999877929688,181.77999877929688,180.39999389648438,176.1999969482422,2018,03,12,Segunda,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,185.61000061035156,181.8800048828125,184.75999450683594,185.22999572753906,185.22999572753906,183.91000366210938,182.33999633789062,183.55999755859375,183.7100067138672,178.74000549316406,179.77999877929688,181.77999877929688,2018,03,13,Terca,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,182.60000610351562,184.19000244140625,181.8800048828125,185.61000061035156,184.75999450683594,185.22999572753906,185.22999572753906,183.91000366210938,182.33999633789062,183.55999755859375,183.7100067138672,178.74000549316406,2018,03,14,Quarta,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,183.24000549316406,183.86000061035156,184.19000244140625,182.60000610351562,181.8800048828125,185.61000061035156,184.75999450683594,185.22999572753906,185.22999572753906,183.91000366210938,182.33999633789062,183.55999755859375,2018,03,15,Quinta,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,184.49000549316406,185.08999633789062,183.86000061035156,183.24000549316406,184.19000244140625,182.60000610351562,181.8800048828125,185.61000061035156,184.75999450683594,185.22999572753906,185.22999572753906,183.91000366210938,2018,03,16,Sexta,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,177.00999450683594,172.55999755859375,185.08999633789062,184.49000549316406,183.86000061035156,183.24000549316406,184.19000244140625,182.60000610351562,181.8800048828125,185.61000061035156,184.75999450683594,185.22999572753906,2018,03,19,Segunda,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,167.47000122070312,168.14999389648438,172.55999755859375,177.00999450683594,185.08999633789062,184.49000549316406,183.86000061035156,183.24000549316406,184.19000244140625,182.60000610351562,181.8800048828125,185.61000061035156,2018,03,20,Terca,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,164.8000030517578,169.38999938964844,168.14999389648438,167.47000122070312,172.55999755859375,177.00999450683594,185.08999633789062,184.49000549316406,183.86000061035156,183.24000549316406,184.19000244140625,182.60000610351562,2018,03,21,Quarta,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,166.1300048828125,164.88999938964844,169.38999938964844,164.8000030517578,168.14999389648438,167.47000122070312,172.55999755859375,177.00999450683594,185.08999633789062,184.49000549316406,183.86000061035156,183.24000549316406,2018,03,22,Quinta,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,165.44000244140625,159.38999938964844,164.88999938964844,166.1300048828125,169.38999938964844,164.8000030517578,168.14999389648438,167.47000122070312,172.55999755859375,177.00999450683594,185.08999633789062,184.49000549316406,2018,03,23,Sexta,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17,160.82000732421875,160.05999755859375,159.38999938964844,165.44000244140625,164.88999938964844,166.1300048828125,169.38999938964844,164.8000030517578,168.14999389648438,167.47000122070312,172.55999755859375,177.00999450683594,2018,03,26,Segunda,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,156.30999755859375,152.22000122070312,160.05999755859375,160.82000732421875,159.38999938964844,165.44000244140625,164.88999938964844,166.1300048828125,169.38999938964844,164.8000030517578,168.14999389648438,167.47000122070312,2018,03,27,Terca,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
19,151.64999389648438,153.02999877929688,152.22000122070312,156.30999755859375,160.05999755859375,160.82000732421875,159.38999938964844,165.44000244140625,164.88999938964844,166.1300048828125,169.38999938964844,164.8000030517578,2018,03,28,Quarta,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,155.14999389648438,159.7899932861328,153.02999877929688,151.64999389648438,152.22000122070312,156.30999755859375,160.05999755859375,160.82000732421875,159.38999938964844,165.44000244140625,164.88999938964844,166.1300048828125,2018,03,29,Quinta,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
21,157.80999755859375,155.38999938964844,159.7899932861328,155.14999389648438,153.02999877929688,151.64999389648438,152.22000122070312,156.30999755859375,160.05999755859375,160.82000732421875,159.38999938964844,165.44000244140625,2018,04,02,Segunda,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22,156.5500030517578,156.11000061035156,155.38999938964844,157.80999755859375,159.7899932861328,155.14999389648438,153.02999877929688,151.64999389648438,152.22000122070312,156.30999755859375,160.05999755859375,160.82000732421875,2018,04,03,Terca,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,152.02999877929688,155.10000610351562,156.11000061035156,156.5500030517578,155.38999938964844,157.80999755859375,159.7899932861328,155.14999389648438,153.02999877929688,151.64999389648438,152.22000122070312,156.30999755859375,2018,04,04,Quarta,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,161.55999755859375,159.33999633789062,155.10000610351562,152.02999877929688,156.11000061035156,156.5500030517578,155.38999938964844,157.80999755859375,159.7899932861328,155.14999389648438,153.02999877929688,151.64999389648438,2018,04,05,Quinta,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25,157.72999572753906,157.1999969482422,159.33999633789062,161.55999755859375,155.10000610351562,152.02999877929688,156.11000061035156,156.5500030517578,155.38999938964844,157.80999755859375,159.7899932861328,155.14999389648438,2018,04,06,Sexta,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26,157.82000732421875,157.92999267578125,157.1999969482422,157.72999572753906,159.33999633789062,161.55999755859375,155.10000610351562,152.02999877929688,156.11000061035156,156.5500030517578,155.38999938964844,157.80999755859375,2018,04,09,Segunda,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,157.92999267578125,165.0399932861328,157.92999267578125,157.82000732421875,157.1999969482422,157.72999572753906,159.33999633789062,161.55999755859375,155.10000610351562,152.02999877929688,156.11000061035156,156.5500030517578,2018,04,10,Terca,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28,165.36000061035156,166.32000732421875,165.0399932861328,157.92999267578125,157.92999267578125,157.82000732421875,157.1999969482422,157.72999572753906,159.33999633789062,161.55999755859375,155.10000610351562,152.02999877929688,2018,04,11,Quarta,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29,166.97999572753906,163.8699951171875,166.32000732421875,165.36000061035156,165.0399932861328,157.92999267578125,157.92999267578125,157.82000732421875,157.1999969482422,157.72999572753906,159.33999633789062,161.55999755859375,2018,04,12,Quinta,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
30,164.5800018310547,164.52000427246094,163.8699951171875,166.97999572753906,166.32000732421875,165.36000061035156,165.0399932861328,157.92999267578125,157.92999267578125,157.82000732421875,157.1999969482422,157.72999572753906,2018,04,13,Sexta,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,165.72000122070312,164.8300018310547,164.52000427246094,164.5800018310547,163.8699951171875,166.97999572753906,166.32000732421875,165.36000061035156,165.0399932861328,157.92999267578125,157.92999267578125,157.82000732421875,2018,04,16,Segunda,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,165.8300018310547,168.66000366210938,164.8300018310547,165.72000122070312,164.52000427246094,164.5800018310547,163.8699951171875,166.97999572753906,166.32000732421875,165.36000061035156,165.0399932861328,157.92999267578125,2018,04,17,Terca,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,166.8800048828125,166.36000061035156,168.66000366210938,165.8300018310547,164.8300018310547,165.72000122070312,164.52000427246094,164.5800018310547,163.8699951171875,166.97999572753906,166.32000732421875,165.36000061035156,2018,04,18,Quarta,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
