,Abertura,Alvo
0,194.02999877929688,196.44000244140625
1,196.22000122070312,185.88999938964844
2,189.1699981689453,191.75999450683594
3,186.77999877929688,185.1699981689453
4,178.3300018310547,181.08999633789062
5,169.60000610351562,169.5
6,174.6699981689453,178.19000244140625
7,174.00999450683594,170.24000549316406
8,159.5399932861328,154.47000122070312
9,163.52999877929688,170.27999877929688
10,152.32000732421875,146.00999450683594
11,150.74000549316406,149.4199981689453
12,139.75,146.9600067138672
13,146.6199951171875,153.1300048828125
14,156.02000427246094,149.72999572753906
15,149.66000366210938,148.10000610351562
16,155.2100067138672,160.97999572753906
17,158.9199981689453,156.2100067138672
18,158.25,163.33999633789062
19,158.1999969482422,156.7899932861328
20,159.17999267578125,165.9499969482422
21,165.47999572753906,166.8000030517578
22,161.6199951171875,159.60000610351562
23,159.10000610351562,158.19000244140625
24,157.14999389648438,154.17999267578125
25,160.14999389648438,165.5500030517578
26,171.7899932861328,168.8300018310547
27,171.25,174.27999877929688
28,175.89999389648438,175.19000244140625
29,173.6699981689453,174.7899932861328
30,178.97999572753906,178.1699981689453
31,175.19000244140625,176.97000122070312
32,177.9499969482422,176.25
33,179.1999969482422,179.24000549316406
34,177.41000366210938,178.24000549316406
35,175.25,170.8000030517578
36,178.4499969482422,182.27999877929688
37,184.0800018310547,185.1300048828125
38,183.22999572753906,190.07000732421875
39,192.66000366210938,187.5
40,188.66000366210938,182.91000366210938
41,190.92999267578125,194.19000244140625
42,206.9199981689453,204.7100067138672
43,201.60000610351562,202.27000427246094
44,200.1999969482422,205.25999450683594
45,207.02000427246094,207.07000732421875
46,208.1199951171875,208.47000122070312
47,211.16000366210938,211.25999450683594
48,212.24000549316406,212.35000610351562
49,210.88999938964844,213.17999267578125
50,213.2899932861328,210.10000610351562
51,209.42999267578125,205.10000610351562
52,202.55999755859375,206.80999755859375
53,205.27000427246094,210.8800048828125
54,212.14999389648438,213.19000244140625
55,213.27000427246094,216.8800048828125
56,223.5,229.97000122070312
57,234.72000122070312,231.38999938964844
58,231.50999450683594,234.91000366210938
59,239.77000427246094,232.1999969482422
60,229.07000732421875,229.13999938964844
61,224.3000030517578,225.4600067138672
62,225.1999969482422,225.08999633789062
63,224.58999633789062,231.91000366210938
64,230.94000244140625,232.72000122070312
65,232.11000061035156,230.16000366210938
66,229.55999755859375,226.2899932861328
67,226.7100067138672,230.77000427246094
68,229.02999877929688,231.39999389648438
69,231.52000427246094,238.6699981689453
70,240.9600067138672,236.72999572753906
71,229.94000244140625,224.42999267578125
72,229.89999389648438,228.5800018310547
73,225.08999633789062,232.5
74,237.13999938964844,235.64999389648438
75,235.0,235.52999877929688
76,234.99000549316406,235.94000244140625
77,237.7899932861328,238.7899932861328
78,238.55999755859375,239.22000122070312
79,241.27999877929688,242.24000549316406
80,241.1999969482422,234.02000427246094
81,234.6199951171875,235.67999267578125
82,232.63999938964844,216.0800018310547
83,209.75,220.63999938964844
84,220.58999633789062,227.07000732421875
85,228.5,237.5500030517578
86,239.0,233.4199981689453
87,233.75999450683594,240.27999877929688
88,239.41000366210938,240.86000061035156
89,238.11000061035156,243.5800018310547
90,245.0,244.5
91,243.69000244140625,245.07000732421875
92,247.00999450683594,239.0
93,236.75999450683594,239.72999572753906
94,241.5500030517578,240.27999877929688
95,238.0,240.92999267578125
96,241.0,242.02999877929688
97,240.05999755859375,245.4199981689453
98,246.22000122070312,241.75
99,240.25999450683594,239.8699951171875
100,239.6300048828125,232.60000610351562
101,230.19000244140625,230.7100067138672
102,231.4600067138672,233.5
103,234.6300048828125,230.1199951171875
104,231.13999938964844,233.2899932861328
105,230.22000122070312,234.5
106,255.82000732421875,253.6699981689453
107,252.64999389648438,251.9600067138672
108,251.55999755859375,249.8300018310547
109,250.19000244140625,249.1199951171875
110,249.0399932861328,265.2799987792969
111,264.0799865722656,268.44000244140625
112,268.0400085449219,263.0
113,260.19000244140625,256.1300048828125
114,258.9700012207031,259.8900146484375
115,261.54998779296875,261.29998779296875
116,262.30999755859375,261.239990234375
117,262.5,261.1600036621094
118,260.95001220703125,262.3399963378906
119,261.3900146484375,262.5899963378906
120,261.5,269.010009765625
121,268.69000244140625,267.010009765625
122,271.07000732421875,271.3900146484375
123,272.4100036621094,280.82000732421875
124,284.0,303.9100036621094
125,300.1600036621094,293.2200012207031
126,295.0,293.6600036621094
127,293.95001220703125,293.20001220703125
128,294.7099914550781,295.44000244140625
129,298.8800048828125,302.5
130,295.989990234375,291.1199951171875
131,287.25,282.7300109863281
132,271.2799987792969,271.1600036621094
133,275.7699890136719,273.7200012207031
134,275.510009765625,268.0899963378906
135,270.05999755859375,266.6099853515625
136,270.95001220703125,266.1499938964844
137,270.6700134277344,272.4200134277344
138,267.2900085449219,263.5199890136719
139,258.2799987792969,254.82000732421875
140,258.3999938964844,252.52999877929688
141,247.5399932861328,248.14999389648438
142,253.30999755859375,254.75
143,255.25999450683594,249.02000427246094
144,246.5,249.52999877929688
145,249.39999389648438,254.82000732421875
146,259.3999938964844,256.82000732421875
147,257.80999755859375,261.7900085449219
148,261.9800109863281,261.8999938964844
149,265.3500061035156,266.6300048828125
150,261.2099914550781,259.94000244140625
151,262.20001220703125,264.6499938964844
152,261.7799987792969,258.6600036621094
153,259.2099914550781,258.1199951171875
154,259.75,263.760009765625
155,264.5199890136719,264.45001220703125
156,270.20001220703125,275.75
157,277.5799865722656,276.1400146484375
158,277.6199951171875,271.82000732421875
159,267.6000061035156,266.7200012207031
160,267.3800048828125,265.92999267578125
161,265.5299987792969,261.3999938964844
