,Target,Close 1,Close 2,Close 3,Close 4,Close 5
607,233.2899932861328,230.1199951171875,233.5,230.7100067138672,232.6000061035156,239.8699951171875
29,163.8699951171875,166.32000732421875,165.0399932861328,157.92999267578125,157.1999969482422,159.33999633789062
616,256.1300048828125,263.0,268.44000244140625,265.27999877929693,249.1199951171875,249.8300018310547
309,180.8699951171875,185.32000732421875,184.82000732421875,182.72000122070312,185.3000030517578,186.9900054931641
70,191.5399932861328,189.1000061035156,188.17999267578125,191.33999633789062,192.94000244140625,193.27999877929688
572,238.6699981689453,231.3999938964844,230.7700042724609,226.2899932861328,230.16000366210938,232.72000122070312
81,199.0,196.3500061035156,201.7400054931641,201.5,202.0,197.4900054931641
181,143.85000610351562,144.22000122070312,142.16000366210938,141.5500030517578,144.9600067138672,147.8699951171875
502,192.47000122070312,189.75,197.1999969482422,196.7700042724609,200.72000122070312,210.17999267578125
491,210.75999450683597,207.19000244140625,213.05999755859372,212.3300018310547,210.8500061035156,210.1100006103516
542,187.5,190.07000732421875,185.1300048828125,182.27999877929688,170.8000030517578,178.24000549316406
21,155.38999938964844,159.7899932861328,153.02999877929688,152.22000122070312,160.05999755859375,159.38999938964844
676,287.3800048828125,265.29998779296875,261.3599853515625,263.1099853515625,280.82998657226557,267.67001342773443
517,149.72999572753906,153.1300048828125,146.9600067138672,149.4199981689453,146.00999450683594,170.27999877929688
392,189.92999267578125,190.13999938964844,188.13999938964844,188.0800018310547,186.22000122070312,187.19000244140625
290,191.4900054931641,193.25999450683597,182.5800018310547,183.77999877929688,181.44000244140625,178.27999877929688
449,202.25999450683597,200.8699951171875,201.33999633789062,201.0500030517578,199.3600006103516,198.7100067138672
207,134.17999267578122,124.05999755859376,124.9499969482422,133.39999389648438,133.24000549316406,143.66000366210938
334,193.0,189.5,187.66000366210938,188.83999633789062,192.6000061035156,191.13999938964844
74,195.8500061035156,196.80999755859372,192.41000366210938,192.3999938964844,191.5399932861328,189.1000061035156
653,259.94000244140625,266.6300048828125,261.89999389648443,261.79000854492193,256.82000732421875,254.82000732421875
474,222.13999938964844,221.7700042724609,221.1499938964844,219.05999755859372,221.91000366210938,218.05999755859372
102,176.25999450683594,217.5,214.6699981689453,210.91000366210938,209.94000244140625,208.08999633789062
646,249.0200042724609,254.75,248.1499938964844,252.52999877929688,254.82000732421875,263.51998901367193
174,149.94000244140625,148.67999267578125,150.35000610351562,151.75,151.7899932861328,146.22000122070312
377,185.57000732421875,181.75999450683597,181.3000030517578,180.3600006103516,177.75,182.0399932861328
383,188.75999450683597,187.4900054931641,190.8999938964844,187.13999938964844,182.38999938964844,185.6699981689453
73,196.80999755859372,192.41000366210938,192.3999938964844,191.5399932861328,189.1000061035156,188.17999267578125
752,254.69000244140625,264.3099975585937,265.8599853515625,260.32998657226557,261.5599975585937,269.3900146484375
648,254.82000732421875,249.52999877929688,249.0200042724609,254.75,248.1499938964844,252.52999877929688
418,189.3999938964844,187.88999938964844,186.3800048828125,186.1499938964844,182.33999633789062,189.75999450683597
225,144.3000030517578,147.57000732421875,150.0399932861328,148.3000030517578,147.5399932861328,148.9499969482422
101,217.5,214.6699981689453,210.91000366210938,209.94000244140625,208.08999633789062,209.3600006103516
480,217.7899932861328,214.8699951171875,217.94000244140625,219.75999450683597,221.32000732421875,221.44000244140625
375,181.3000030517578,180.3600006103516,177.75,182.0399932861328,183.5500030517578,183.80999755859372
39,174.16000366210938,159.69000244140625,159.69000244140625,165.83999633789062,166.27999877929688,168.10000610351562
52,184.32000732421875,186.63999938964844,186.9900054931641,185.52999877929688,182.66000366210938,178.9199981689453
61,185.7400054931641,184.9199981689453,185.92999267578125,186.8999938964844,183.8000030517578,184.4900054931641
180,144.22000122070312,142.16000366210938,141.5500030517578,144.9600067138672,147.8699951171875,151.52999877929688
445,199.3600006103516,198.7100067138672,198.82000732421875,199.6999969482422,201.63999938964844,202.0
156,153.35000610351562,151.3800048828125,157.89999389648438,157.25,157.3300018310547,158.85000610351562
621,262.33999633789057,261.16000366210943,261.239990234375,261.29998779296875,259.8900146484375,256.1300048828125
641,263.51998901367193,272.42001342773443,266.14999389648443,266.6099853515625,268.08999633789057,273.72000122070307
554,205.1000061035156,210.1000061035156,213.17999267578125,212.3500061035156,211.25999450683597,208.47000122070312
659,275.75,264.45001220703125,263.760009765625,258.1199951171875,258.66000366210943,264.64999389648443
518,148.10000610351562,149.72999572753906,153.1300048828125,146.9600067138672,149.4199981689453,146.00999450683594
564,225.4600067138672,229.13999938964844,232.1999969482422,234.91000366210938,231.38999938964844,229.97000122070312
115,181.1100006103516,180.0500030517578,180.25999450683597,183.08999633789062,185.17999267578125,183.80999755859372
567,232.72000122070312,231.91000366210938,225.08999633789062,225.4600067138672,229.13999938964844,232.1999969482422
26,157.92999267578125,157.1999969482422,159.33999633789062,155.10000610351562,156.11000061035156,155.38999938964844
447,201.33999633789062,201.0500030517578,199.3600006103516,198.7100067138672,198.82000732421875,199.6999969482422
126,175.89999389648438,176.25999450683594,177.4600067138672,174.64999389648438,172.89999389648438,173.63999938964844
301,181.5399932861328,188.33999633789062,188.6499938964844,189.5399932861328,189.7700042724609,193.8800048828125
423,194.72000122070312,193.6199951171875,191.6499938964844,188.25,189.30999755859372,189.3999938964844
176,147.8699951171875,151.52999877929688,149.94000244140625,148.67999267578125,150.35000610351562,151.75
615,263.0,268.44000244140625,265.27999877929693,249.1199951171875,249.8300018310547,251.9600067138672
443,198.82000732421875,199.6999969482422,201.63999938964844,202.0,198.97000122070312,199.7899932861328
198,144.5,142.0800018310547,141.85000610351562,137.41999816894528,139.6300048828125,137.92999267578122
519,160.97999572753906,148.10000610351562,149.72999572753906,153.1300048828125,146.9600067138672,149.4199981689453
278,177.5800018310547,174.92999267578125,175.72000122070312,176.02000427246094,173.5399932861328,174.1999969482422
137,162.32000732421875,161.36000061035156,162.0,165.94000244140625,164.17999267578125,163.0399932861328
89,204.7400054931641,203.22999572753903,198.4499969482422,192.72999572753903,197.3600006103516,194.32000732421875
444,198.7100067138672,198.82000732421875,199.6999969482422,201.63999938964844,202.0,198.97000122070312
110,183.80999755859372,185.69000244140625,177.77999877929688,176.3699951171875,171.64999389648438,172.5800018310547
580,238.7899932861328,235.94000244140625,235.52999877929688,235.6499938964844,232.5,228.5800018310547
77,202.0,197.4900054931641,198.30999755859372,195.8500061035156,196.80999755859372,192.41000366210938
304,186.9900054931641,186.2700042724609,180.72999572753903,181.5399932861328,188.33999633789062,188.6499938964844
723,251.63999938964844,251.08999633789062,256.83999633789057,267.57000732421875,268.739990234375,263.3099975585937
96,209.3600006103516,209.9900054931641,207.22999572753903,207.32000732421875,206.9199981689453,202.5399932861328
314,177.47000122070312,183.00999450683597,182.19000244140625,184.30999755859372,181.05999755859372,180.8699951171875
233,169.25,165.7100067138672,166.69000244140625,150.4199981689453,144.19000244140625,147.47000122070312
606,230.1199951171875,233.5,230.7100067138672,232.6000061035156,239.8699951171875,241.75
651,261.89999389648443,261.79000854492193,256.82000732421875,254.82000732421875,249.52999877929688,249.0200042724609
